datetime,points
2024-01-04,2021
2024-01-05,2043
2024-01-06,2054
2024-01-07,2054
2024-01-08,2111
2024-01-09,2132
2024-01-10,2143
2024-01-11,2179
2024-01-12,2240
2024-01-13,2336
2024-01-14,2382
2024-01-15,2393
2024-01-16,2414
2024-01-17,2514
2024-01-18,2536
2024-01-19,2547
2024-01-20,2603
2024-01-21,2614
2024-01-22,2670
2024-01-23,2681
2024-01-24,2717
2024-01-25,2728
2024-01-26,2739
2024-01-27,2739
2024-01-28,2750
2024-01-29,2817
2024-01-30,2878
2024-01-31,2924
2024-02-01,2935
2024-02-02,2946
2024-02-03,2947
2024-02-04,2957
2024-02-05,2989
2024-02-06,3000
2024-02-07,3000
2024-02-08,3011
2024-02-09,3068
2024-02-10,3084
2024-02-11,3095
2024-02-12,3136
2024-02-13,3147
2024-02-14,3203
2024-02-15,3214
2024-02-16,3225
2024-02-17,3241
2024-02-18,3241
2024-02-19,3263
2024-02-20,3263
2024-02-21,3285
2024-02-22,3306
2024-02-23,3307
2024-02-24,3352
2024-02-25,3399
2024-02-26,3410
2024-02-27,3420
2024-02-28,3527
2024-02-29,3573
2024-03-01,3573
2024-03-02,3595
2024-03-03,3595
2024-03-04,3616
2024-03-05,3627
2024-03-06,3638
2024-07-29,5864
